序号,评论标识号,上级评论,用户标识符,时间,用户名,性别,评论内容,评论点赞数,评论回复数,粉丝牌,评论IP,主页IP,用户简介,微博认证,是否认证,会员等级,年龄,星座,学历,公司,微博注册日期,信用,用户粉丝数,用户关注数,用户转赞评数
1,5153883953827999,,2192684973,2025-04-10 14:05:52,壹静,女,[抱一抱],0,0,,山东,山东,最后，世间最短和最长的距离都是由嘴到心的距离，有人在一念之间便到，也有人走了一辈子也没到。,,否,0,33,天秤座,,,2011-06-22 17:03:32,较好,132,357,1232
2,5153854711401649,,7629825722,2025-04-10 12:09:40,高飞和凛冬,女,[好运连连],0,0,,四川,四川,🧡~%?…;# *’☆&℃$★?拖延症晚期患者ദ്ദി˶•̀֊•́)✧当代山顶洞人(っ˘̩╭╮˘̩)っ404NotFound什么都乱七八糟的社交废人,,否,1,,,,,2021-06-18 21:34:13,较好,29,257,1399
3,5153851996904237,,1748064714,2025-04-10 11:58:53,凌乱娃仔,女,我要抽,0,0,,浙江,浙江,承接pv 声漫,,否,1,,,,,2010-05-29 00:57:50,极好,438,204,2569
4,5153843350078513,,6850523121,2025-04-10 11:24:30,命运綫星,女,[兔子],0,0,,浙江,浙江,庆祝每一次呼吸 人生就是转身即逝的鸟鸣,,否,1,,,,,2018-11-14 21:13:57,较好,92,1083,1901
5,5153838873446902,,6879352125,2025-04-10 11:06:44,杰尼杰尼zzzzz,男,[打call],0,0,,江西,江西,,,否,0,,,,,2018-12-09 21:44:00,较好,94,658,105
6,5153833954837449,,7415373008,2025-04-10 10:47:10,渡晚但爱下围棋版,女,萌,0,0,,内蒙古,内蒙古,进我主页默认薛之谦华语乐坛top，王宝强80生top ｜百分百溺爱我担全肯定bot,,否,0,22,狮子座,吉林大学,,2020-03-18 18:50:38,较好,374,120,8769
7,5153787345897079,,7861865016,2025-04-10 07:41:59,咯小万,女,哎~怎么说呢，我家莎莎一抽出的[挤眼],0,0,,广东,广东,,,否,0,15,狮子座,,,2023-08-11 09:39:26,较低,4,157,1
8,5153740203491701,,6251584210,2025-04-10 04:34:39,抒写月的诗篇,女,为什么把队长写死，[融化]米哈游会不会赚钱，让队长进卡池,1,0,,四川,四川,NPC的发疯日常,,否,0,23,巨蟹座,,,2017-05-17 17:43:00,较好,207,406,1009
9,5153675883839764,,7840872424,2025-04-10 00:19:03,siki灼,女,莎莎[兔子],0,0,,山西,山西,,,否,0,,,,,2023-05-25 17:18:20,一般,36,316,1510
10,5153650223088612,,7977648563,2025-04-09 22:37:05,Supurmliy_ty,女,[心],0,0,,江西,江西,,,否,0,24,巨蟹座,,,2025-01-27 22:09:53,较低,7,19,7
11,5153646203374094,,7183984559,2025-04-09 22:21:08,青黛倚香,女,我造密码的，我想着回归一下，这司马周本我真是服了，打也打不过，刮也刮不死，我还能说什么？多人还非得我做任务，我造密码我任务在稻妻，我踏马要做到纳塔，是人？,0,1,,上海,上海,咸鱼 很咸 梦想，咸鱼翻身 技能，咸鱼突刺,,否,0,24,水瓶座,,,2019-06-08 10:52:39,一般,3,49,12
12,5153841058157034,5153646203374094,7183984559,2025-04-10 11:15:25,青黛倚香,女,米哈游还我30块钱，还我30,0,0,,上海,上海,咸鱼 很咸 梦想，咸鱼翻身 技能，咸鱼突刺,,否,0,24,水瓶座,,,2019-06-08 10:52:39,一般,3,49,12
13,5153588704971684,,5533613770,2025-04-09 18:32:39,苦口梁耀199104,男,互动一下,0,0,,广东,广东,,,否,0,,,,,2015-02-25 18:05:54,一般,6,26,0
14,5153558380151070,,7332199674,2025-04-09 16:32:08,小鞠Mlan,男,[哇][哇][哇],0,0,,广东,广东,,,否,0,,,,,2019-11-03 15:48:27,较好,20,59,33
15,5153487109227446,,3929705859,2025-04-09 11:48:57,鱼丸油面-i,女,[憧憬],0,0,,江西,江西,三次元社交障碍症,,否,0,,,,,2013-12-01 18:58:45,极好,92,220,382
16,5153480341194174,,5197558911,2025-04-09 11:22:02,-麟酱LIN,女,fe,0,0,,湖北,湖北,麟酱的最后一个账号🐹,,否,0,25,摩羯座,,,2014-06-28 19:52:29,较好,76,229,833
17,5153477726574289,,5657593330,2025-04-09 11:11:40,BELIEVE_for丁,男,互动一下,0,0,,四川,四川,困了困了…,,否,0,28,双鱼座,上海工程技术大学,,2015-07-22 10:46:45,较好,84,579,141
18,5153308362147849,,5620514561,2025-04-08 23:58:40,悄悄敲敲w,女,新活动特么的恶心，用脚想出来的吗？？打别阵营也就算了，又臭又长，守护自己阵营的时候，你觉得这个时间限制合理吗，我请问，敌人从他的的阵营跑出来需要时间，就连简单模式都要击退十拨敌人，特么用脚算的时间啊，服了,0,0,,广东,广东,烦心事,,否,0,,,,,2015-05-30 01:00:40,较好,39,92,1
19,5153276060768750,,6160947481,2025-04-08 21:50:19,enlin恩尼,女,你们在做游戏的时候考虑过手机玩家吗？ 我从原神出来就开始玩 玩了几年 都是自己跑图，现在很多关卡 手机根本操作不了！ 直接退出。,1,0,,江苏,江苏,喷子勿扰,,否,0,37,金牛座,,,2017-03-01 21:05:08,较好,19,162,178
20,5153266086450997,,6357530438,2025-04-08 21:10:41,我有魔法ox7,女,嗯,0,0,,山东,山东,有人说，人生就是一场场告别，但也不全然都是忧伤。有些告别，是永远结束；而有些，则是新的开始。（滚，少和我扯，都是你的错）,,否,0,,,,,2017-08-30 15:02:07,较好,43,88,5983
21,5153200023013778,,5885051942,2025-04-08 16:48:10,Mr皓宇先生,男,找代肝，单子多价格高[doge],0,0,,河南,河南,打破传统接发 ，极小微分子 ，一梳到底 ，让头发更舒适！,,否,0,,,,,2016-03-21 13:34:54,较好,1126,468,203
22,5153148159398882,,6314040997,2025-04-08 13:22:05,啊阿颜啊喂,女,[抓狂],0,0,,广东,广东,坑底很多基本看主页就能知道… 很好说话，互不侵犯就好。 欢迎和我交朋友哦吼~,,否,0,,,,,2017-07-11 12:32:46,较好,177,532,3307
23,5153107449219044,,7959896655,2025-04-08 10:40:19,刚毅胡桃爱正义,男,瓦雷莎的PV真是燃爆了！勇士传说配上火焰炖肉和火山蛋糕，简直是视觉和味觉的双重享受！乔苏的配音太到位了！🔥🍖🧁 #原神# #瓦雷莎# 参与抽奖，希望幸运之神眷顾我！🎁期待3月26日的开奖！🎉,0,0,,河北,河北,,,否,0,,,,,2024-11-01 08:46:15,较低,30,37,19
24,5153097073034279,,7958328147,2025-04-08 09:59:05,用户7958328147,女,"""这部电影真的太感人了，看到最后眼泪止不住地流😭。剧情紧凑，演员演技在线，特别是主角的内心戏，简直是演技炸裂！👏👏👏推荐给大家，一定要去看！🎬🌟 #电影推荐 #感动瞬间""",2,0,,河北,河北,,,否,0,33,天蝎座,,,2024-11-01 16:10:37,较低,3,38,15
25,5153080026861962,,6998525795,2025-04-08 08:51:21,鱼写日记了吗,女,[抱抱],1,0,,贵州,贵州,我的秘密基地,,否,0,19,天蝎座,,,2019-02-16 21:02:16,较好,7,53,330
26,5152972313461392,,7854025590,2025-04-08 01:43:20,-月下小昙-,女,转发微博,0,0,,山东,山东,,,否,0,20,天秤座,,,2023-07-18 00:01:28,一般,4,58,27
27,5152921911822647,,7446653814,2025-04-07 22:23:03,FiedHronyMC,男,1,0,0,,山东,山东,虚无,,否,0,27,狮子座,,,2020-04-29 17:52:34,一般,4,193,33
28,5152906534717137,,7768618270,2025-04-07 21:21:57,我心里只有刃,女,[打call],0,0,,河北,河北,,,否,0,19,双子座,,,2022-06-22 20:35:39,一般,2,32,22
29,5152857154388339,,7913620036,2025-04-07 18:05:43,涂山杨少,男,死人，神子什么时候回来[苦涩],0,0,,云南,云南,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,,否,0,18,水瓶座,,,2024-04-06 11:47:44,较低,1,5,1
30,5152854704653095,,7767141171,2025-04-07 17:55:59,喝橙汁的奥特曼,男,太好了[舔屏],0,0,,辽宁,辽宁,,,否,0,22,白羊座,,,2022-06-15 16:40:13,较好,29,190,11
