序号,评论标识号,上级评论,用户标识符,时间,用户名,性别,评论内容,评论点赞数,评论回复数,粉丝牌,评论IP,用户简介,是否认证,会员等级,用户粉丝数,用户关注数,用户转赞评数
1,5153883953827999,,2192684973,2025-04-10 14:05:52,壹静,女,[抱一抱],0,0,,山东,最后，世间最短和最长的距离都是由嘴到心的距离，有人在一念之间便到，也有人走了一辈子也没到。,否,0,132,357,1232
2,5153854711401649,,7629825722,2025-04-10 12:09:40,高飞和凛冬,女,[好运连连],0,0,,四川,🧡~%?…;# *’☆&℃$★?拖延症晚期患者ദ്ദി˶•̀֊•́)✧当代山顶洞人(っ˘̩╭╮˘̩)っ404NotFound什么都乱七八糟的社交废人,否,1,28,257,1391
3,5153851996904237,,1748064714,2025-04-10 11:58:53,凌乱娃仔,女,我要抽,0,0,,浙江,承接pv 声漫,否,1,436,202,2567
4,5153843350078513,,6850523121,2025-04-10 11:24:30,命运綫星,女,[兔子],0,0,,浙江,庆祝每一次呼吸 人生就是转身即逝的鸟鸣,否,1,91,1083,1901
5,5153838873446902,,6879352125,2025-04-10 11:06:44,杰尼杰尼zzzzz,男,[打call],0,0,,江西,,否,0,71,657,105
6,5153833954837449,,7415373008,2025-04-10 10:47:10,渡晚但爱下围棋版,女,萌,0,0,,内蒙古,进我主页默认薛之谦华语乐坛top，王宝强80生top ｜百分百溺爱我担全肯定bot,否,0,373,121,8759
7,5153787345897079,,7861865016,2025-04-10 07:41:59,咯小万,女,哎~怎么说呢，我家莎莎一抽出的[挤眼],0,0,,广东,,否,0,3,157,1
8,5153740203491701,,6251584210,2025-04-10 04:34:39,抒写月的诗篇,女,为什么把队长写死，[融化]米哈游会不会赚钱，让队长进卡池,1,0,,四川,NPC的发疯日常,否,0,206,433,1009
9,5153675883839764,,7840872424,2025-04-10 00:19:03,siki灼,女,莎莎[兔子],0,0,,山西,,否,0,35,314,1508
10,5153650223088612,,7977648563,2025-04-09 22:37:05,Supurmliy_ty,女,[心],0,0,,江西,,否,0,6,19,7
11,5153646203374094,,7183984559,2025-04-09 22:21:08,青黛倚香,女,我造密码的，我想着回归一下，这司马周本我真是服了，打也打不过，刮也刮不死，我还能说什么？多人还非得我做任务，我造密码我任务在稻妻，我踏马要做到纳塔，是人？,0,1,,上海,咸鱼 很咸 梦想，咸鱼翻身 技能，咸鱼突刺,否,0,2,49,12
12,5153841058157034,5153646203374094,7183984559,2025-04-10 11:15:25,青黛倚香,女,米哈游还我30块钱，还我30,0,0,,上海,咸鱼 很咸 梦想，咸鱼翻身 技能，咸鱼突刺,否,0,2,49,12
13,5153588704971684,,5533613770,2025-04-09 18:32:39,苦口梁耀199104,男,互动一下,0,0,,广东,,否,0,5,26,0
14,5153558380151070,,7332199674,2025-04-09 16:32:08,小鞠Mlan,男,[哇][哇][哇],0,0,,广东,,否,0,19,59,33
15,5153487109227446,,3929705859,2025-04-09 11:48:57,鱼丸油面-i,女,[憧憬],0,0,,江西,三次元社交障碍症,否,0,91,220,382
16,5153480341194174,,5197558911,2025-04-09 11:22:02,-麟酱LIN,女,fe,0,0,,湖北,麟酱的最后一个账号🐹,否,0,75,229,833
17,5153477726574289,,5657593330,2025-04-09 11:11:40,BELIEVE_for丁,男,互动一下,0,0,,四川,困了困了…,否,0,83,579,139
18,5153308362147849,,5620514561,2025-04-08 23:58:40,悄悄敲敲w,女,新活动特么的恶心，用脚想出来的吗？？打别阵营也就算了，又臭又长，守护自己阵营的时候，你觉得这个时间限制合理吗，我请问，敌人从他的的阵营跑出来需要时间，就连简单模式都要击退十拨敌人，特么用脚算的时间啊，服了,0,0,,广东,烦心事,否,0,38,92,1
19,5153276060768750,,6160947481,2025-04-08 21:50:19,enlin恩尼,女,你们在做游戏的时候考虑过手机玩家吗？ 我从原神出来就开始玩 玩了几年 都是自己跑图，现在很多关卡 手机根本操作不了！ 直接退出。,1,0,,江苏,喷子勿扰,否,0,18,162,178
20,5153266086450997,,6357530438,2025-04-08 21:10:41,我有魔法ox7,女,嗯,0,0,,山东,有人说，人生就是一场场告别，但也不全然都是忧伤。有些告别，是永远结束；而有些，则是新的开始。（滚，少和我扯，都是你的错）,否,0,42,88,5983
21,5153200023013778,,5885051942,2025-04-08 16:48:10,Mr皓宇先生,男,找代肝，单子多价格高[doge],0,0,,河南,打破传统接发 ，极小微分子 ，一梳到底 ，让头发更舒适！,否,0,1116,466,203
22,5153148159398882,,6314040997,2025-04-08 13:22:05,啊阿颜啊喂,女,[抓狂],0,0,,广东,坑底很多基本看主页就能知道… 很好说话，互不侵犯就好。 欢迎和我交朋友哦吼~,否,0,176,532,3307
